버전,AreaID,Tag,AreaType,ContinentalType,AttributeList,BossAreaObjectID,Width,Height,StartingPoints,StartArea,RestartTime,PortalID,PortalPosition:X,PortalPosition:Y,AreaPenaltyID,AreaFunctionList,IsWayPoint,IsTown,IsNpc,IsBoss,WatchCutscene,SoundID,SoundID_RaidSuccess,SoundID_RaidFail,SceneName,AreaName,AreaTitle,RaidTipID,AreaDifficulty,AppearMonster,AppearNPC,MapPortalID,ShowMinimap,ShowMinimapPopup,BackImage,AttributeText,AreaIcon,AreaDestroyGoBackAreaID,AreaGroupType
b_0,1,카일 & 로사 시작 지역,StaticPublic,None,"""None""",,90,70,"{""Position"":{ ""X"":43, ""Y"":40}}",FALSE,3,0,0,0,60000,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,101,0,0,rs_00_grass_garden,AreaName_60000,AreaTitle_Grass,,Safe Area,,,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,2,사샤 시작 지역,StaticPublic,None,"""None""",,60,50,"{""Position"":{ ""X"":28, ""Y"":18}}",FALSE,3,0,0,0,60000,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,103,0,0,rs_06_snow_waypoint,AreaName_60001,AreaTitle_Snow,,Safe Area,,,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Snow,0,None
b_0,3,아니스 시작 지역,StaticPublic,None,"""None""",,100,100,"{""Position"":{ ""X"":41, ""Y"":36}}",FALSE,3,0,0,0,60000,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,36,0,0,rs_03_underground_city_lv01,AreaName_60002,AreaTitle_Cave,,Safe Area,,,,FALSE,FALSE,BackGround_Grass,,AreaIcon_UnderGround,0,None
b_0,4,코야 & 엘레이아 시작 지역,StaticPublic,None,"""None""",,90,60,"{""Position"":{ ""X"":47, ""Y"":61}}",FALSE,3,0,0,0,60000,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,102,0,0,rs_04_volcano_lv01,AreaName_60003,AreaTitle_Volcano,,Safe Area,,,,FALSE,FALSE,BackGround_Snow,,AreaIcon_Volcano,0,None
b_0,90,test_farm_before,StaticPublic,None,"""None""",,100,100,"{""Position"":{ ""X"":16, ""Y"":13}}, {""Position"":{ ""X"":16, ""Y"":14}}",FALSE,1,0,0,0,99,"""None""",FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,test_farm_before,AreaName_200,AreaTitle_Grass,,,,,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,91,test_farm_after,StaticPublic,None,"""None""",,100,100,"{""Position"":{ ""X"":16, ""Y"":13}}, {""Position"":{ ""X"":16, ""Y"":14}}",FALSE,1,0,0,0,99,"""None""",FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,test_farm_after,AreaName_200,AreaTitle_Grass,,,,,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,99,테스트용 맵,StaticPublic,None,"""None""",,35,40,"{""Position"":{ ""X"":16, ""Y"":13}}, {""Position"":{ ""X"":16, ""Y"":14}}",FALSE,1,0,0,0,99,"""None""",FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,f1_98_grass_field_training,AreaName_200,AreaTitle_Grass,,,10000,,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,200,허수아비 맵,StaticPublic,None,"""PVP""",,35,40,"{""Position"":{ ""X"":16, ""Y"":13}}, {""Position"":{ ""X"":16, ""Y"":14}}",TRUE,5,0,0,0,100,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,3,0,0,f1_98_grass_field_training,AreaName_200,AreaTitle_Grass,,Lv.1 ~ Lv.1,10000,,,TRUE,FALSE,BackGround_Grass,MapInfo_PvP,AreaIcon_Grass,0,Grass
b_0,300,모든것의 시작마을,StaticPublic,1,"""Peace""",,61,71,"{""Position"":{ ""X"":23, ""Y"":11}}, {""Position"":{ ""X"":30, ""Y"":11}}",FALSE,5,0,0,0,100,"""Town""",FALSE,TRUE,TRUE,FALSE,FALSE,4,0,0,f1_99_grass_town_spring,AreaName_300,AreaTitle_Grass,,,,"100, 200, 300, 9000, 100300, 1001",1,TRUE,TRUE,BackGround_SpringTown,MapInfo_Safe,AreaIcon_SpringTown,0,Grass
b_0,400,초원-400,StaticPublic,1,"""None""",,52,62,"{""Position"":{ ""X"":17, ""Y"":26}}",FALSE,5,400000,0,0,100,"""None"", ""DungeonStone""",FALSE,FALSE,TRUE,FALSE,FALSE,5,0,0,f1_00_grass_field_meadow,AreaName_400,AreaTitle_Grass,,Lv.1 ~ Lv.3,"10400, 10401",200001,,TRUE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,Grass
b_0,410,초원-410,StaticPublic,1,"""None""",,74,70,"{""Position"":{ ""X"":40, ""Y"":35}}",FALSE,5,0,0,0,100,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,5,0,0,f1_01_grass_field_toforest,AreaName_410,AreaTitle_Grass,,Lv.3 ~ Lv.5,"10410, 10411",,,TRUE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,Grass
b_0,411,[멀티] 위키드라임,Raid,None,"""None""",42000,74,70,"{""Position"":{ ""X"":20, ""Y"":8}}, {""Position"":{ ""X"":24, ""Y"":7}}",FALSE,10,3003,22,22,10000,"""None""",FALSE,FALSE,FALSE,TRUE,TRUE,13,11,5,rm_00_grass_wikedlime,AreaName_411,AreaTitle_Grass,AreaRaidTip_Wikedlime,,"42000, 32000, 70001",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,412,[솔로] 멧돼지의 습격 1,Raid,None,"""None""",40100,90,70,"{""Position"":{ ""X"":38, ""Y"":35}}",FALSE,10,3003,38,41,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,13,11,5,rs_09_grass_boar,AreaName_412,AreaTitle_Grass,,,"40100, 30092, 30093, 30094",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,413,[솔로] 멧돼지의 습격 2,Raid,None,"""None""",40100,90,70,"{""Position"":{ ""X"":38, ""Y"":35}}",FALSE,10,3003,38,41,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,13,11,5,rs_09_grass_boar,AreaName_412,AreaTitle_Grass,,,"40100, 30092, 30093, 30094",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,414,[솔로] 멧돼지의 습격 3,Raid,None,"""None""",40100,90,70,"{""Position"":{ ""X"":38, ""Y"":35}}",FALSE,10,3003,38,41,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,13,11,5,rs_09_grass_boar,AreaName_412,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,415,[솔로] 멧돼지의 습격 4,Raid,None,"""None""",40100,90,70,"{""Position"":{ ""X"":38, ""Y"":35}}",FALSE,10,3003,38,41,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,13,11,5,rs_09_grass_boar,AreaName_412,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,416,[솔로] 멧돼지의 습격 5,Raid,None,"""None""",40100,90,70,"{""Position"":{ ""X"":38, ""Y"":35}}",FALSE,10,3003,38,41,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,13,11,5,rs_09_grass_boar,AreaName_412,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,420,초원-420,StaticPublic,1,"""None""",,120,67,"{""Position"":{ ""X"":31, ""Y"":31}}",FALSE,5,0,0,0,100,"""None"", ""DungeonStone""",FALSE,FALSE,TRUE,FALSE,FALSE,5,8,12,f1_02_grass_field_riverside,AreaName_420,AreaTitle_Grass,,Lv.17 ~ Lv.19,"10420, 10421",,,TRUE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,Grass
b_0,430,초원-430,StaticPublic,1,"""None""",,83,82,"{""Position"":{ ""X"":43, ""Y"":28}}",FALSE,5,0,0,0,100,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,5,0,0,f1_03_grass_field_bridge,AreaName_430,AreaTitle_Grass,,Lv.18 ~ Lv.21,"10430, 10431",,,TRUE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,Grass
b_0,440,초원-440,StaticPublic,1,"""None""",,90,90,"{""Position"":{ ""X"":37, ""Y"":52}}",FALSE,5,0,0,0,100,"""None"", ""FieldBoss""",FALSE,FALSE,TRUE,TRUE,FALSE,5,0,0,f1_04_grass_field_cliff,AreaName_440,AreaTitle_Grass,,Lv.20 ~ Lv.22,"20000, 10441, 10440",,,TRUE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,Grass
b_0,441,[솔로] 화원의 골칫거리 1,Raid,None,"""None""",40010,58,62,"{""Position"":{ ""X"":33, ""Y"":43}}",FALSE,10,3003,33,46,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,18,11,5,rs_00_grass_garden,AreaName_441,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,442,[솔로] 화원의 골칫거리 2,Raid,None,"""None""",40010,58,62,"{""Position"":{ ""X"":33, ""Y"":43}}",FALSE,10,3003,33,46,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,18,11,5,rs_00_grass_garden,AreaName_441,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,443,[솔로] 화원의 골칫거리 3,Raid,None,"""None""",40010,58,62,"{""Position"":{ ""X"":33, ""Y"":43}}",FALSE,10,3003,33,46,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,18,11,5,rs_00_grass_garden,AreaName_441,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,444,[솔로] 화원의 골칫거리 4,Raid,None,"""None""",40010,58,62,"{""Position"":{ ""X"":33, ""Y"":43}}",FALSE,10,3003,33,46,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,18,11,5,rs_00_grass_garden,AreaName_441,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,445,[솔로] 화원의 골칫거리 5,Raid,None,"""None""",40010,58,62,"{""Position"":{ ""X"":33, ""Y"":43}}",FALSE,10,3003,33,46,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,18,11,5,rs_00_grass_garden,AreaName_441,AreaTitle_Grass,,,"40010, 30010, 30011",,,FALSE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,None
b_0,450,신비상점 맵,StaticPublic,1,"""None""",,60,70,"{""Position"":{ ""X"":33, ""Y"":43}}",FALSE,5,0,0,0,100,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,4,0,0,f1_05_grass_island_store,AreaName_450,AreaTitle_Grass,,,,90000,2,TRUE,FALSE,BackGround_Grass,,AreaIcon_Grass,0,Grass
b_0,500,숲-500,StaticPublic,1,"""None""",,60,70,"{""Position"":{ ""X"":30, ""Y"":30}}",FALSE,5,404000,0,0,200,"""None"", ""FieldBoss"", ""DungeonStone""",FALSE,FALSE,TRUE,FALSE,FALSE,14,0,0,f2_00_forest_field_mushroom,AreaName_500,AreaTitle_Forest,,Lv.9 ~ Lv.13,"10500, 10501, 20070",200007,,TRUE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,Grass
b_0,501,[솔로] 숲길 청소 1,Raid,None,"""None""",40020,60,70,"{""Position"":{ ""X"":30, ""Y"":30}}",FALSE,10,3003,30,30,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,19,8,8,rs_01_forest_cleaning,AreaName_501,AreaTitle_Forest,,,"40020, 40025, 30021, 30022, 30023",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,502,[솔로] 숲길 청소 2,Raid,None,"""None""",40020,60,70,"{""Position"":{ ""X"":30, ""Y"":30}}",FALSE,10,3003,30,30,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,19,8,8,rs_01_forest_cleaning,AreaName_501,AreaTitle_Forest,,,"40020, 40025, 30021, 30022, 30023",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,503,[솔로] 숲길 청소 3,Raid,None,"""None""",40020,60,70,"{""Position"":{ ""X"":30, ""Y"":30}}",FALSE,10,3003,30,30,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,19,8,8,rs_01_forest_cleaning,AreaName_501,AreaTitle_Forest,,,"40020, 40025, 30021, 30022, 30023",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,504,[솔로] 숲길 청소 4,Raid,None,"""None""",40020,60,70,"{""Position"":{ ""X"":30, ""Y"":30}}",FALSE,10,3003,30,30,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,19,8,8,rs_01_forest_cleaning,AreaName_501,AreaTitle_Forest,,,"40020, 40025, 30021, 30022, 30023",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,505,[솔로] 숲길 청소 5,Raid,None,"""None""",40020,60,70,"{""Position"":{ ""X"":30, ""Y"":30}}",FALSE,10,3003,30,30,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,19,8,8,rs_01_forest_cleaning,AreaName_501,AreaTitle_Forest,,,"40020, 40025, 30021, 30022, 30023",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,510,숲-510,StaticPublic,1,"""None""",,140,75,"{""Position"":{ ""X"":50, ""Y"":27}}",FALSE,5,403000,0,0,200,"""None"", ""DungeonStone""",FALSE,FALSE,TRUE,FALSE,FALSE,14,0,0,f2_01_forest_field_swamp,AreaName_510,AreaTitle_Forest,,Lv.14 ~ Lv.16,"10511, 10510",200005,,TRUE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,Forest
b_0,520,숲-520,StaticPublic,1,"""None""",,70,77,"{""Position"":{ ""X"":23, ""Y"":46}}",FALSE,5,0,0,0,200,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,14,0,0,f2_02_forest_field_road,AreaName_520,AreaTitle_Forest,,Lv.9 ~ Lv.13,10520,210016,,TRUE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,Forest
b_0,530,숲-530,StaticPublic,1,"""None""",,80,60,"{""Position"":{ ""X"":60, ""Y"":40}}",FALSE,5,0,0,0,200,"""None""",FALSE,FALSE,TRUE,FALSE,FALSE,14,0,0,f2_03_forest_field_ruins,AreaName_530,AreaTitle_Forest,,Lv.23 ~ Lv.25,"10530, 10531",,,TRUE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,Forest
b_0,540,숲-540,StaticPublic,1,"""None""",,70,51,"{""Position"":{ ""X"":40, ""Y"":25}}",FALSE,5,0,0,0,200,"""None"", ""FieldBoss"", ""DungeonStone""",FALSE,FALSE,TRUE,TRUE,FALSE,14,0,0,f2_04_forest_field_ruinsdeep,AreaName_540,AreaTitle_Forest,,Lv.26 ~ Lv.28,"20090, 10540, 10541",210017,,TRUE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,Forest
b_0,541,[멀티] 호드,Raid,None,"""None""",42010,52,63,"{""Position"":{ ""X"":22, ""Y"":22}}, {""Position"":{ ""X"":24, ""Y"":21}}",FALSE,15,3003,22,40,10000,"""None""",FALSE,FALSE,FALSE,TRUE,TRUE,17,8,8,rm_01_forest_horde,AreaName_541,AreaTitle_Forest,AreaRaidTip_Horde,,"42010, 42015, 70001",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,542,[솔로] 담력시험 1,Raid,None,"""None""",40030,52,63,"{""Position"":{ ""X"":22, ""Y"":39}}",FALSE,10,3003,23,39,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,20,8,8,rm_01_forest_horde,AreaName_543,AreaTitle_Forest,,,"40030, 30030, 30031, 30032, 30033",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,543,[솔로] 담력시험 2,Raid,None,"""None""",40030,52,63,"{""Position"":{ ""X"":22, ""Y"":39}}",FALSE,10,3003,23,39,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,20,8,8,rm_01_forest_horde,AreaName_543,AreaTitle_Forest,,,"40030, 30030, 30031, 30032, 30033",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,544,[솔로] 담력시험 3,Raid,None,"""None""",40030,52,63,"{""Position"":{ ""X"":22, ""Y"":39}}",FALSE,10,3003,23,39,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,20,8,8,rm_01_forest_horde,AreaName_543,AreaTitle_Forest,,,"40030, 30030, 30031, 30032, 30033",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,545,[솔로] 담력시험 4,Raid,None,"""None""",40030,52,63,"{""Position"":{ ""X"":22, ""Y"":39}}",FALSE,10,3003,23,39,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,20,8,8,rm_01_forest_horde,AreaName_543,AreaTitle_Forest,,,"40030, 30030, 30031, 30032, 30033",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
b_0,546,[솔로] 담력시험 5,Raid,None,"""None""",40030,52,63,"{""Position"":{ ""X"":22, ""Y"":39}}",FALSE,10,3003,23,39,10000,"""None""",FALSE,FALSE,FALSE,TRUE,FALSE,20,8,8,rm_01_forest_horde,AreaName_543,AreaTitle_Forest,,,"40030, 30030, 30031, 30032, 30033",,,FALSE,FALSE,BackGround_Forest,,AreaIcon_Forest,0,None
