Source.Name,¼Ó¼º,DeployLocationID,Tag,AreaObjectID,#Territory:Position_X,#Territory:Position_Y,Territory:TerritoryType,Territory:Position,Territory:Radius,Territory:Direction
db_area_40000_deploy_location.xlsm,b_0,1,A0,400020,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40000_deploy_location.xlsm,b_0,2,A0,400020,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40000_deploy_location.xlsm,b_0,3,A0,400020,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40000_deploy_location.xlsm,b_0,4,A0,400020,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40000_deploy_location.xlsm,b_0,5,A1,400021,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40000_deploy_location.xlsm,b_0,6,A1,400021,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40000_deploy_location.xlsm,b_0,7,A1,400021,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40000_deploy_location.xlsm,b_0,8,A0,400020,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40000_deploy_location.xlsm,b_0,9,A1,400021,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40000_deploy_location.xlsm,b_0,10,Elite0,400010,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40000_deploy_location.xlsm,b_0,11,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40000_deploy_location.xlsm,b_0,12,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40000_deploy_location.xlsm,b_0,13,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40000_deploy_location.xlsm,b_0,14,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40000_deploy_location.xlsm,b_0,15,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40000_deploy_location.xlsm,b_0,16,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40000_deploy_location.xlsm,b_0,17,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40000_deploy_location.xlsm,b_0,18,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
