AccountGUID,HeroGUID,NickName,AreaObjectID,Level,Exp,Money,Gem,TalentPoint,AreaID,LocationX,LocationY,LastLoginDate,LastClanLeaveDate,GoBackAreaID,HeroGrowthRewards
459c6d6412c7fb9d0005ac99f22c9606,A516F59F-4E04-4315-95B4-C82A6442BB11,집요한닌자,300,1,0,0,0,100,1,39,42,2024-01-15 12:25:41.130,NULL,0,
95DA71EC-8D36-48ED-99A3-0F9A649CBB0D,4ADA0001-772E-44F7-BB0A-1BCC103316A8,단순한음악가,200,1,0,0,0,100,1,43,40,2024-01-15 15:28:55.933,NULL,0,
A00D2517-AF85-4A4E-8F9C-EA9D5B2C3F1A,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,기민한천사,800,10,26570,146269,5600,100,410,34,40,2024-04-11 06:47:05.560,NULL,510,
95DA71EC-8D36-48ED-99A3-0F9A649CBB0D,1FEBFDDA-39ED-4EB8-B48E-E20EF5B68571,완벽한여군주,800,3,240,240,0,100,300,24,33,2024-01-15 15:40:22.213,NULL,300,
71B47EA2-BACA-45F6-85EC-3E2496AC05ED,4B24E493-C22A-4EC7-A335-1CF705E72965,야심찬복권,800,5,952,2058,800,400,300,23,11,2024-01-29 16:29:53.190,NULL,300,
A2BD7E9C-4C73-45F9-A17A-6BB2B6DF13A7,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,부족한소시지,800,14,107392,159187,20550,100,50020,14,25,2024-02-04 20:40:59.633,NULL,400,
98cd2485101504355ce8a1f07315d9c3,6C15B1D5-5171-4454-A4CC-51318CDB1FEE,힙비,600,5,875,2265,800,400,1400,31,65,2024-01-17 16:37:53.677,NULL,1310,
fa157a08044cc8f4124601c2a4e8620f,8BB7B12B-4711-477F-BC86-404D0AFB7812,퇴근합니다,800,50,19608342,1665926,10850,7450,530,47,43,2024-01-17 16:39:30.077,NULL,530,"8010,8006,8004,8009,8008"
f8121dc2699c0fc6856c5a7708f021ef,E049AF97-319C-4807-8600-6B39767A3944,행운의노래,1000,29,1222738,30365,14000,100,300,36,30,2024-01-22 11:31:09.050,NULL,300,"10004,10006"
d5b047e702c361807a74ae37500c8b18,A4A115E7-9967-45FB-BD55-7A37DD24A2C8,용감한도사,800,7,3594,4393,1900,400,400,28,14,2024-01-17 18:53:55.673,NULL,400,
A00D2517-AF85-4A4E-8F9C-EA9D5B2C3F1A,E7B70DE0-AADE-4BCE-BE2A-AC1C299E7327,불같은미녀,400,47,14406273,268630,1006400,100,700,50,45,2024-03-14 15:25:11.113,NULL,300,
0b39d2aadf65cd8d202b1f0aaa8e6bab,118A6F05-0880-48F1-9765-16FBC2BEC147,강인한사제,100,4,521,264,0,100,1320,35,50,2024-01-17 17:20:32.943,NULL,1400,
d5b047e702c361807a74ae37500c8b18,12BF42CD-50E8-423E-BE7B-B9A14274691D,현명한예언자,200,7,4446,7232,1000,330,510,77,50,2024-01-17 17:21:13.547,NULL,300,
0b39d2aadf65cd8d202b1f0aaa8e6bab,78B94E28-C226-4C45-BC7B-6EC70E136F33,비열한소시지,900,1,0,0,0,100,4,47,61,2024-01-17 17:24:39.113,NULL,4,
ee4cc20655264b94099e36ef505b06ed,AC68D114-3D2D-40E8-B71A-038A3FE19C7D,감성적인마술사,400,4,466,333,0,100,1000,8,26,2024-01-29 14:04:17.957,NULL,1000,
d5b047e702c361807a74ae37500c8b18,CE553C26-BA53-43A0-8350-5A54503CE142,단호한악당,100,9,20020,9534,800,630,510,77,50,2024-01-17 17:45:05.230,NULL,1310,
d12edba650667c2a16e0254b01aedaa4,6EE90EB8-53E5-4489-BAC1-006FF400A7A5,파괴적인소시지,600,13,89954,37159,7200,390,1310,47,44,2024-01-18 18:59:12.803,NULL,1310,
67f63cc222f15d993fd5967e8c4f3d54,52B89050-B767-4D22-B531-689D8FE57BA9,매혹적인물고기,800,6,2370,4880,1600,230,60401,43,23,2024-01-17 22:43:13.000,NULL,410,
e1325668a74cb7f636bfced5213a3ef8,6B12A4A9-8B13-44D0-A4CB-CC3E90D64B14,막강한상어,400,13,91788,82418,100,1480,510,71,33,2024-01-30 14:09:30.130,NULL,520,4004
dc0c408b766b7a8085c8fe225548eb93,CD3EEB88-7D86-4C99-B465-41B3D5727BFA,윤신사,400,6,2216,4735,1600,100,950,36,40,2024-02-15 14:12:21.737,NULL,1000,
f8121dc2699c0fc6856c5a7708f021ef,E75AE275-47EF-4E3D-9B4E-6521FC49B85C,놀란소시지,900,1,0,0,0,100,1600,25,29,2024-01-18 16:57:17.867,NULL,1600,
A00D2517-AF85-4A4E-8F9C-EA9D5B2C3F1A,28AD6822-AA27-49F1-87BA-95C78445405B,강인한마왕,600,37,3757970,1018945,973200,100,721,35,19,2024-04-13 14:40:34.627,NULL,300,
fa157a08044cc8f4124601c2a4e8620f,CE2D5753-66F0-40DA-892B-3BDDBE985609,퇴근하나요,600,50,19608342,596165,7000,3280,930,32,25,2024-01-19 09:49:33.597,NULL,300,6004
dedd1640d61b9a977b8cf6d2b5bcc90c,E088865F-2303-460A-854E-4FC457701934,지혜로운오렌지,600,5,1119,3637,1500,390,1400,42,68,2024-01-29 12:07:40.913,NULL,1310,
2b2a2015d0fd4435e5a5d9f0b9261756,250B7FCB-7715-43C1-AD9B-D41695BED243,야심찬행동파,600,4,747,1698,800,100,1320,22,51,2024-01-19 11:29:54.597,NULL,1400,
24eba9749e2c6f3251fbde5209298513,6D31F939-51FF-419E-8F63-B8AC3729F972,멋진촌장,400,1,0,0,0,100,1000,21,19,2024-01-19 11:34:08.557,NULL,1000,
6885eb68a114ea02f2d2d48ebaef63ab,E4C2F2A8-0ABB-476C-99F6-3FCE678AE1F1,단호한여제,100,4,500,150,0,100,1320,32,35,2024-01-19 13:03:33.270,NULL,1400,
0b39d2aadf65cd8d202b1f0aaa8e6bab,BE6CBB02-7FA7-4D93-842E-9E1C2910355B,소심한머그컵,200,4,709,1493,700,100,300,42,11,2024-01-19 14:31:01.987,NULL,300,
addd035393844c43fe668ab384d1b02b,AAECC9F2-DBAC-4A04-855E-1ABA1F4339DB,아가라,600,15,126987,52607,5500,220,600,31,36,2024-01-25 12:32:18.220,NULL,510,
d12edba650667c2a16e0254b01aedaa4,B0679B4C-A4E2-49B9-AC20-697D04B678D0,감동받은자전거,400,50,19608342,679511,400,6140,600,37,34,2024-01-25 18:44:43.653,NULL,1400,
7965aa0eeb40078ad36a025b01458aa7,BAB9E371-9AEB-411C-AFC4-35CED21D6B00,핸디박상희,400,50,19608342,22513,986400,100,1000,23,24,2024-01-24 16:26:14.270,NULL,400,
