ItemGUID,HeroGUID,ItemID,Amount,Enchant,Equip,Durability,ExtendData
9EE93442-2A93-433F-9150-49E577623534,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,20401,75,0,0,0,NULL
065265CA-F647-4662-AAE1-B3FD6B91B2D2,1FEBFDDA-39ED-4EB8-B48E-E20EF5B68571,110900,1,0,1,0,NULL
A37A48FB-196B-4E67-AC39-B7399FC03473,CF58188F-AADA-4412-87C1-B8CA5063BEB0,220200,1,0,1,0,NULL
93651F08-6CC2-4784-BD32-F42905911C70,CF58188F-AADA-4412-87C1-B8CA5063BEB0,20101,11,0,0,0,NULL
E6BACE8A-60CA-4743-98A1-BB44AC16896D,CF58188F-AADA-4412-87C1-B8CA5063BEB0,20401,3,0,0,0,NULL
7B7F1009-A179-42DC-BCA8-139FEAF5F303,CF58188F-AADA-4412-87C1-B8CA5063BEB0,310204,1,0,0,0,NULL
CB72BF17-E1A9-4DF5-81A3-B6B07933FE22,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,20801,2,0,0,0,NULL
BDF7376A-15AF-4F5B-BA08-D9DFB69C0DC4,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,310204,1,0,1,0,NULL
9482C8DD-802F-42DF-9FE4-5849C3CB9EA0,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,50401,2,0,0,0,NULL
F50C6BA4-0DAD-4528-AF4B-0CD8091F8CC3,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,50601,2,0,0,0,NULL
2B427CDC-2E09-48B9-950F-2EC75FAF6620,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,9100000,5,0,0,10,NULL
539747E2-60D6-4DB0-99E8-30AEADC4A783,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,51403,4,0,0,0,NULL
45989BB8-B122-4357-B6DA-EC97F65881E6,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,51603,2,0,0,0,NULL
8E1951F8-B2B2-46B8-9B88-785BABF68B6C,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,9007,1,0,1,4,NULL
3258946E-25AB-414E-A827-BCA3283149F4,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,51503,2,0,0,0,NULL
EB6519B3-A419-4A84-8146-8588CBAC99E4,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,410204,1,0,1,0,NULL
FF6715BB-F0BD-4126-9F8E-1B294EDE3409,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,50903,2,0,0,0,NULL
D63FF1BC-39C4-4071-9AB2-810F8886DE94,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,610203,1,0,1,0,NULL
2F47F449-CA83-40B3-B2F2-C0798E5156A6,7DE2D488-92A5-4D15-99B3-D4BEC72EDC6A,50402,1,0,0,0,NULL
80BECE74-93C2-4252-827C-F7B571EC25C3,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,20102,11,0,0,0,NULL
F768BC3A-EFD1-4D51-91A3-6822F32CB5F4,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,51601,4,0,0,0,NULL
16FFF440-C979-4713-9751-6FC991E6FB66,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,50201,2,0,0,0,NULL
696090B4-BA6F-4B0F-9C13-863D94962128,DB382816-F412-4E4E-B2A4-8EF5031B3C10,220404,1,0,1,0,NULL
24F9F817-D900-483B-8BDB-4138DD181BA5,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,50401,2,0,0,0,NULL
EC63A305-2242-4DD1-B538-E7EEDC1793EC,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,50501,1,0,0,0,NULL
B23C8B8E-5AE0-460E-915B-6C2C58A9D80A,2A741AE8-2514-4722-842B-2BAFAD6FCF91,20401,16,0,0,0,NULL
3F35C101-3A66-416B-B331-AF58935EDD41,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,51701,1,0,0,0,NULL
8CA50E31-B46B-46F3-9CF7-74633A49830E,46DAD4C0-A7D8-402B-BBEA-0496D2A4B46A,20701,15,0,0,0,NULL
BA6C1102-2C16-4454-98DC-6461DDBC2488,BAB9E371-9AEB-411C-AFC4-35CED21D6B00,50303,1,0,0,0,NULL
38474E91-018E-4CD3-8E70-3C3884095916,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,51601,10,0,0,0,NULL
A68AE2A8-91AF-4E6E-A7F4-32F6D5296FB0,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,50101,3,0,0,0,NULL
3D4F2395-9E4E-4A9F-BB64-889071CA2CBC,611127DF-36D2-4DD3-9A17-CD1A9A0D839B,50301,3,0,0,0,NULL
39CBFEC1-9A8C-445B-AC7A-A4EBD6B3D98B,2C07630A-B90E-4641-B417-66E7E9DEEDBC,110700,1,0,1,0,NULL
5F6F372D-440D-499E-A873-EC07864F54EA,2A741AE8-2514-4722-842B-2BAFAD6FCF91,51001,1,0,0,0,NULL
9C43E750-222C-4475-B809-489D0D75F45C,2A741AE8-2514-4722-842B-2BAFAD6FCF91,20701,15,0,0,0,NULL
0E24250A-399C-49DF-A23D-D094F191EA6B,DB382816-F412-4E4E-B2A4-8EF5031B3C10,51101,1,0,0,0,NULL
3BEF3A75-FB56-45CD-B952-37C79D1E06F7,DB382816-F412-4E4E-B2A4-8EF5031B3C10,431202,1,0,0,0,NULL
F0D81650-9FEF-422D-9247-12DBC003B515,2A741AE8-2514-4722-842B-2BAFAD6FCF91,50101,7,0,0,0,NULL
BF4EA467-73FB-48B9-9280-36B234E6294B,2A741AE8-2514-4722-842B-2BAFAD6FCF91,50201,5,0,0,0,NULL
C38DBEA9-739F-4D31-8FC0-D7ACCFB5B55B,6C15B1D5-5171-4454-A4CC-51318CDB1FEE,20401,8,0,0,0,NULL
474B7298-DC42-465D-89E8-2330A26F4146,6C15B1D5-5171-4454-A4CC-51318CDB1FEE,110700,1,0,1,0,NULL
C6C12EDD-B592-4F09-9B81-386D634F6BD8,8533C1CD-25F0-4F71-BF34-472F2CB1EC37,20106,499,0,0,0,NULL
2F8C3188-5D1C-4D0D-B0B6-ECA098CC5B40,6EE90EB8-53E5-4489-BAC1-006FF400A7A5,110901,1,0,0,0,NULL
3EB91205-991A-47F5-95AB-5615776E3555,679F043C-80E4-45E8-9F92-29744558BB1B,110900,1,0,1,0,NULL
420F32BD-DA6F-4497-979A-71E2776F8DDC,F137AD44-8906-40A6-815D-20AB843974C2,110700,1,0,0,0,NULL
F1240E47-9A1D-437D-8E27-A1C1612EEEF2,E049AF97-319C-4807-8600-6B39767A3944,20701,14,0,0,0,NULL
D2C36DF5-C86B-4D40-A381-4D691D236172,8BB7B12B-4711-477F-BC86-404D0AFB7812,50601,47,0,0,0,NULL
5EC85D71-8099-483F-9609-12BB15533CAC,A232E370-C471-4D41-A7A6-83B4C2BB202C,20102,15,0,0,0,NULL
E4E51EC3-F1B1-44B1-AB75-243DF721A9EE,A5E85E0C-2F32-47E7-8590-7A3FEEB5137F,310304,1,0,1,0,NULL
