HeroGUID,QuestID,Goals,Status,AccountGUID,MainCategory
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,1,"[{""GoalID"":10,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,2,"[{""GoalID"":20,""Count"":0,""IsCompleted"":false}]",3,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,3,"[{""GoalID"":30,""Count"":100,""IsCompleted"":true}]",2,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,4,"[{""GoalID"":40,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,5,"[{""GoalID"":50,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,20,"[{""GoalID"":200,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,21,"[{""GoalID"":210,""Count"":1000,""IsCompleted"":true}]",3,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,22,"[{""GoalID"":220,""Count"":1,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,23,"[{""GoalID"":230,""Count"":7050,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,25,"[{""GoalID"":250,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,2
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,42,"[{""GoalID"":420,""Count"":30341,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,47,"[{""GoalID"":470,""Count"":156,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,50,"[{""GoalID"":500,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,54,"[{""GoalID"":540,""Count"":15,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,59,"[{""GoalID"":590,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,66,"[{""GoalID"":660,""Count"":5600,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,69,"[{""GoalID"":690,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
6EE90EB8-53E5-4489-BAC1-006FF400A7A5,74,"[{""GoalID"":740,""Count"":0,""IsCompleted"":false}]",1,d12edba650667c2a16e0254b01aedaa4,3
