HeroGUID,RaidID,CompletedLevel,AvailableLevel,FirstclearRewardLevels
A516F59F-4E04-4315-95B4-C82A6442BB11,201,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,203,0,2,
A516F59F-4E04-4315-95B4-C82A6442BB11,204,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,4,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,1011,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,208,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,8,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,9,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,11,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,13,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,17,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,21,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,1001,0,1,
A516F59F-4E04-4315-95B4-C82A6442BB11,200,0,1,
4ADA0001-772E-44F7-BB0A-1BCC103316A8,1005,0,1,
4ADA0001-772E-44F7-BB0A-1BCC103316A8,1006,0,1,
4ADA0001-772E-44F7-BB0A-1BCC103316A8,201,0,1,
CF58188F-AADA-4412-87C1-B8CA5063BEB0,4,0,1,
CF58188F-AADA-4412-87C1-B8CA5063BEB0,10,0,1,
CF58188F-AADA-4412-87C1-B8CA5063BEB0,14,0,1,
CF58188F-AADA-4412-87C1-B8CA5063BEB0,20,0,1,
679F043C-80E4-45E8-9F92-29744558BB1B,18,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,203,0,2,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1009,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,11,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,16,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,14,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,21,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,8,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1001,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1010,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1000,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1002,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,5,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1012,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1013,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,208,0,1,
2F62F341-C6F6-4CA6-A678-E4FFC4DE7A30,1018,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,1,1,5,1
4B24E493-C22A-4EC7-A335-1CF705E72965,1007,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,206,0,2,
4B24E493-C22A-4EC7-A335-1CF705E72965,6,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,1012,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,200,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,1019,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,208,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,1015,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,20,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,99,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,1003,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,1001,0,1,
4B24E493-C22A-4EC7-A335-1CF705E72965,13,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,204,1,2,1
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,1009,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,2,1,5,1
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,4,1,5,1
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,206,0,2,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,5,1,5,1
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,6,1,5,1
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,1012,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,209,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,1013,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,9,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,1015,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,1017,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,11,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,1018,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,14,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,15,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,18,0,1,
611127DF-36D2-4DD3-9A17-CD1A9A0D839B,19,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,201,1,2,1
A232E370-C471-4D41-A7A6-83B4C2BB202C,1006,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,202,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1007,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1,15,20,"1,5,10,15"
A232E370-C471-4D41-A7A6-83B4C2BB202C,203,0,2,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1008,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,204,1,2,1
A232E370-C471-4D41-A7A6-83B4C2BB202C,2,1,5,1
A232E370-C471-4D41-A7A6-83B4C2BB202C,1009,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,4,1,5,1
A232E370-C471-4D41-A7A6-83B4C2BB202C,1010,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,5,5,10,"1,5"
A232E370-C471-4D41-A7A6-83B4C2BB202C,1011,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,207,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1012,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,208,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,7,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,209,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,8,1,5,1
A232E370-C471-4D41-A7A6-83B4C2BB202C,210,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1015,1,1,1
A232E370-C471-4D41-A7A6-83B4C2BB202C,10,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1016,1,1,1
A232E370-C471-4D41-A7A6-83B4C2BB202C,1014,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1017,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,12,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,13,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1019,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,14,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,15,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,16,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,18,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,17,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,19,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,21,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,22,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,99,0,1,
A232E370-C471-4D41-A7A6-83B4C2BB202C,1000,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1005,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,203,0,2,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1009,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,4,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1010,1,1,1
2A741AE8-2514-4722-842B-2BAFAD6FCF91,5,1,5,1
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1011,1,1,1
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1001,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1012,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1000,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1013,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,8,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1014,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,9,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1015,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1016,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,11,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,12,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,1018,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,19,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,14,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,16,0,1,
2A741AE8-2514-4722-842B-2BAFAD6FCF91,17,0,1,
FB698155-FDE6-4164-81B1-1B811E3B147A,1010,0,1,
FB698155-FDE6-4164-81B1-1B811E3B147A,1004,0,1,
FB698155-FDE6-4164-81B1-1B811E3B147A,7,0,1,
